CAMPUS_NO,COURSE_CODE,COURSE_NAME,CRD_HRS,STUDY_CODE,STUDY_DESC,ACTIVITY_CODE,ACTIVITY_DESC,SECTION,DEPT_NO,DEPT_NAME,CLASS_TIMES,Unnamed: 12,,STATUS
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,2,47,LANGUAGE CENTER,[13:30-14:20 DAR B109 Sunday Tuesday Thursday],,,1
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,4,47,LANGUAGE CENTER,[13:30-14:20 DAR B110 Sunday Tuesday Thursday],,,1
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,5,47,LANGUAGE CENTER,[08:30-09:20 DAR 107 Sunday Tuesday Thursday],,,1
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,8,47,LANGUAGE CENTER,[13:30-14:20 DAR B102 Sunday Tuesday Thursday],,,1
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,9,47,LANGUAGE CENTER,[11:30-12:20 DAR B102 Sunday Tuesday Thursday],,,1
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,14,47,LANGUAGE CENTER,[11:30-12:45 DAR B103 Monday Wednesday],,,0
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,17,47,LANGUAGE CENTER,[13:00-14:15 DAR B109 Monday Wednesday],,,0
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,19,47,LANGUAGE CENTER,[14:30-15:45 DAR B113 Monday Wednesday],,,1
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,20,47,LANGUAGE CENTER,[13:00-14:15 DAR B103 Monday Wednesday],,,0
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,23,47,LANGUAGE CENTER,[09:30-10:20 DAR B102 Sunday Tuesday Thursday],,,1
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,26,47,LANGUAGE CENTER,[10:00-11:15 AFS 127 Monday Wednesday],,,1
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,29,47,LANGUAGE CENTER,[10:00-11:15 DAR B101 Monday Wednesday],,,0
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,30,47,LANGUAGE CENTER,[11:30-12:45 DAR B109 Monday Wednesday],,,1
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,31,47,LANGUAGE CENTER,[11:30-12:45 DAR B205 Monday Wednesday],,,1
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,32,47,LANGUAGE CENTER,[10:00-11:15 DAR B113 Monday Wednesday],,,0
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,33,47,LANGUAGE CENTER,[08:30-09:45 DAR B101 Monday Wednesday],,,0
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,34,47,LANGUAGE CENTER,[10:30-11:20 DAR B101 Sunday Tuesday Thursday],,,1
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,35,47,LANGUAGE CENTER,[10:30-11:20 DAR B109 Sunday Tuesday Thursday],,,1
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,36,47,LANGUAGE CENTER,[09:30-10:20 DAR B110 Sunday Tuesday Thursday],,,0
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,38,47,LANGUAGE CENTER,[14:30-15:45 DAR 132 Monday Wednesday],,,0
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,40,47,LANGUAGE CENTER,[14:30-15:45 DAR B109 Monday Wednesday],,,0
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,51,47,LANGUAGE CENTER,[08:30-09:45 DAR B110 Monday Wednesday],,,1
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,52,47,LANGUAGE CENTER,[08:30-09:45 DAR 101 Monday Wednesday],,,0
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,53,47,LANGUAGE CENTER,[08:30-09:45 DAR B113 Monday Wednesday],,,0
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,57,47,LANGUAGE CENTER,[08:30-09:45 DAR 106 Monday Wednesday],,,1
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,58,47,LANGUAGE CENTER,[13:00-14:15 DAR B101 Monday Wednesday],,,0
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,60,47,LANGUAGE CENTER,[11:30-12:20 DAR B110 Sunday Tuesday Thursday],,,0
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,3,47,LANGUAGE CENTER,[08:30-09:20 DAR 132 Sunday Tuesday Thursday],,,1
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,4,47,LANGUAGE CENTER,[08:30-09:20 DAR B210 Sunday Tuesday Thursday],,,0
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,5,47,LANGUAGE CENTER,[11:30-12:20 DAR B101 Sunday Tuesday Thursday],,,1
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,6,47,LANGUAGE CENTER,[11:30-12:45 DAR B113 Monday Wednesday],,,0
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,10,47,LANGUAGE CENTER,[10:30-11:20 DAR B103 Sunday Tuesday Thursday],,,0
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,11,47,LANGUAGE CENTER,[08:30-09:20 DAR B103 Sunday Tuesday Thursday],,,1
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,12,47,LANGUAGE CENTER,[09:30-10:20 DAR B103 Sunday Tuesday Thursday],,,1
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,15,47,LANGUAGE CENTER,[08:30-09:45 DAR 132 Monday Wednesday],,,0
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,16,47,LANGUAGE CENTER,[08:30-09:20 DAR B101 Sunday Tuesday Thursday],,,0
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,19,47,LANGUAGE CENTER,[10:00-11:15 AFS 123 Monday Wednesday],,,0
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,20,47,LANGUAGE CENTER,[10:00-11:15 DAR 132 Monday Wednesday],,,1
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,23,47,LANGUAGE CENTER,[09:30-10:20 DAR 132 Sunday Tuesday Thursday],,,1
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,24,47,LANGUAGE CENTER,[11:30-12:20 DAR B103 Sunday Tuesday Thursday],,,1
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,25,47,LANGUAGE CENTER,[14:30-15:45 DAR B110 Monday Wednesday],,,0
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,26,47,LANGUAGE CENTER,[09:30-10:20 DAR B109 Sunday Tuesday Thursday],,,1
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,27,47,LANGUAGE CENTER,[08:30-09:20 DAR B110 Sunday Tuesday Thursday],,,0
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,29,47,LANGUAGE CENTER,[14:30-15:20 DAR B102 Sunday Tuesday Thursday],,,1
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,30,47,LANGUAGE CENTER,[10:30-11:20 DAR B102 Sunday Tuesday Thursday],,,0
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,31,47,LANGUAGE CENTER,[11:30-12:45 DAR 111 Monday Wednesday],,,0
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,32,47,LANGUAGE CENTER,[13:30-14:20 DAR B101 Sunday Tuesday Thursday],,,0
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,5,47,LANGUAGE CENTER,[13:30-14:25 DAR 108 Sunday Tuesday],,,1
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,7,47,LANGUAGE CENTER,[14:30-15:25 DAR 111 Sunday Tuesday],,,1
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,8,47,LANGUAGE CENTER,[14:30-15:25 DAR 107 Sunday Tuesday],,,0
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,9,47,LANGUAGE CENTER,[09:30-10:25 DAR 111 Tuesday Thursday],,,0
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,10,47,LANGUAGE CENTER,[14:30-15:25 DAR B205 Monday Wednesday],,,0
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,11,47,LANGUAGE CENTER,[15:30-16:25 DAR 107 Tuesday Thursday],,,1
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,13,47,LANGUAGE CENTER,[13:30-14:25 DAR 111 Sunday Tuesday],,,1
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,14,47,LANGUAGE CENTER,[14:30-15:25 DAR 108 Monday Wednesday],,,0
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,15,47,LANGUAGE CENTER,[14:30-15:25 DAR 108 Tuesday Thursday],,,1
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,16,47,LANGUAGE CENTER,[10:30-11:25 DAR 106 Thursday][13:30-14:25 DAR 106 Tuesday],,,0
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,17,47,LANGUAGE CENTER,[13:00-13:55 DAR 111 Monday Wednesday],,,1
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,18,47,LANGUAGE CENTER,[08:30-09:25 DAR 111 Tuesday Wednesday],,,0
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,19,47,LANGUAGE CENTER,[13:30-14:25 DAR 107 Tuesday][14:30-15:25 DAR 107 Monday],,,1
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,20,47,LANGUAGE CENTER,[14:30-16:20 DAR 106 Tuesday],,,0
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,21,47,LANGUAGE CENTER,[14:30-15:25 DAR 102 Monday Thursday],,,0
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,22,47,LANGUAGE CENTER,[09:30-10:25 DAR B205 Sunday Tuesday],,,1
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,23,47,LANGUAGE CENTER,[13:30-14:25 DAR 108 Monday Wednesday],,,1
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,24,47,LANGUAGE CENTER,[10:30-11:25 DAR 107 Sunday Thursday],,,1
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,26,47,LANGUAGE CENTER,[12:30-13:25 DAR 108 Monday Wednesday],,,1
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,27,47,LANGUAGE CENTER,[10:30-11:25 DAR 111 Thursday][11:30-12:25 DAR 111 Sunday],,,1
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,28,47,LANGUAGE CENTER,[14:30-15:25 DAR 108 Sunday][14:30-15:25 DAR B205 Tuesday],,,1
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,29,47,LANGUAGE CENTER,[10:30-11:25 DAR 108 Sunday Tuesday],,,1
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,4,47,LANGUAGE CENTER,[08:30-09:20 DAR B113 Sunday Tuesday Thursday],,,1
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,5,47,LANGUAGE CENTER,[11:30-12:20 DAR B113 Sunday Tuesday Thursday],,,0
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,6,47,LANGUAGE CENTER,[11:30-12:45 DAR B101 Monday Wednesday],,,1
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,10,47,LANGUAGE CENTER,[08:30-09:45 DAR B103 Monday Wednesday],,,0
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,17,47,LANGUAGE CENTER,[14:30-15:45 DAR B101 Monday Wednesday],,,1
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,20,47,LANGUAGE CENTER,[10:00-11:15 DAR 107 Monday Wednesday],,,0
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,21,47,LANGUAGE CENTER,[09:30-10:20 DAR B113 Sunday Tuesday Thursday],,,0
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,22,47,LANGUAGE CENTER,[13:30-14:20 DAR B103 Sunday Tuesday Thursday],,,0
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,23,47,LANGUAGE CENTER,[14:30-15:20 DAR B103 Sunday Tuesday Thursday],,,1
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,24,47,LANGUAGE CENTER,[14:30-15:45 DAR B103 Monday Wednesday],,,1
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,25,47,LANGUAGE CENTER,[08:30-09:45 DAR 107 Monday Wednesday],,,0
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,26,47,LANGUAGE CENTER,[10:30-11:20 DAR B110 Sunday Tuesday Thursday],,,1
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,28,47,LANGUAGE CENTER,[09:30-10:20 DAR B101 Sunday Tuesday Thursday],,,0
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,29,47,LANGUAGE CENTER,[09:30-10:20 DAR B210 Sunday Tuesday Thursday],,,1
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,30,47,LANGUAGE CENTER,[08:30-09:45 DAR B205 Monday Wednesday],,,1
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,32,47,LANGUAGE CENTER,[13:00-14:15 DAR B113 Monday Wednesday],,,0
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,33,47,LANGUAGE CENTER,[08:30-09:45 DAR B210 Monday Wednesday],,,0
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,34,47,LANGUAGE CENTER,[10:30-11:20 DAR 132 Sunday Tuesday Thursday],,,0
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,35,47,LANGUAGE CENTER,[13:00-14:15 DAR 107 Monday Wednesday],,,1
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,36,47,LANGUAGE CENTER,[08:30-09:20 DAR B109 Sunday Tuesday Thursday],,,1
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,37,47,LANGUAGE CENTER,[11:30-12:20 DAR 132 Sunday Tuesday Thursday],,,0
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,38,47,LANGUAGE CENTER,[14:30-15:45 DAR B102 Monday Wednesday],,,1
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,39,47,LANGUAGE CENTER,[13:30-14:20 DAR 132 Sunday Tuesday Thursday],,,1
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,40,47,LANGUAGE CENTER,[13:30-14:20 DAR 101 Tuesday][13:30-14:20 DAR 106 Sunday][13:30-14:20 DAR B114 Thursday],,,1
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,41,47,LANGUAGE CENTER,[13:00-14:15 A&S 016 Monday Wednesday],,,1
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,6,47,LANGUAGE CENTER,[13:30-15:20 DAR 102 Sunday],,,0
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,9,47,LANGUAGE CENTER,[13:30-14:25 DAR B205 Sunday Thursday],,,0
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,10,47,LANGUAGE CENTER,[14:30-15:25 DAR 111 Monday Wednesday],,,1
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,17,47,LANGUAGE CENTER,[09:30-10:25 DAR 102 Monday Wednesday],,,0
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,20,47,LANGUAGE CENTER,[13:30-14:25 DAR B205 Tuesday][14:30-15:25 DAR B205 Sunday],,,0
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,21,47,LANGUAGE CENTER,[08:30-09:25 DAR 108 Sunday Tuesday],,,0
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,22,47,LANGUAGE CENTER,[09:30-10:25 DAR 108 Sunday Tuesday],,,1
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,23,47,LANGUAGE CENTER,[10:30-11:25 DAR 102 Sunday Tuesday],,,1
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,24,47,LANGUAGE CENTER,[11:30-12:25 DAR 106 Sunday Tuesday],,,0
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,25,47,LANGUAGE CENTER,[15:30-16:25 DAR 102 Sunday Tuesday],,,0
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,26,47,LANGUAGE CENTER,[08:30-09:25 DAR 102 Monday Wednesday],,,0
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,27,47,LANGUAGE CENTER,[09:30-10:25 DAR 111 Monday Wednesday],,,1
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,28,47,LANGUAGE CENTER,[10:30-11:25 DAR 106 Monday Wednesday],,,1
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,29,47,LANGUAGE CENTER,[11:30-12:25 DAR 106 Monday Wednesday],,,1
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,30,47,LANGUAGE CENTER,[14:30-15:25 DAR 106 Sunday Thursday],,,1
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,31,47,LANGUAGE CENTER,[10:30-11:25 DAR 108 Monday Wednesday],,,0
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,32,47,LANGUAGE CENTER,[11:30-12:25 DAR 107 Sunday Tuesday],,,0
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,33,47,LANGUAGE CENTER,[08:30-09:25 DAR 108 Monday Wednesday],,,0
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,34,47,LANGUAGE CENTER,[11:30-12:25 DAR 107 Monday Wednesday],,,1
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,35,47,LANGUAGE CENTER,[13:30-14:25 DAR B205 Monday Wednesday],,,1
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,36,47,LANGUAGE CENTER,[10:30-11:25 DAR 106 Sunday Tuesday],,,0
1,10610071,ENGLISH FOR NURSING I,1,1,Bachelor,2,Lab,1,47,LANGUAGE CENTER,[08:30-10:20 DAR 101 Sunday],,,0
1,10610071,ENGLISH FOR NURSING I,1,1,Bachelor,2,Lab,2,47,LANGUAGE CENTER,[08:30-10:20 DAR 102 Sunday],,,0
1,10610071,ENGLISH FOR NURSING I,1,1,Bachelor,2,Lab,3,47,LANGUAGE CENTER,[08:30-10:20 DAR 106 Sunday],,,1
1,10610071,ENGLISH FOR NURSING I,1,1,Bachelor,2,Lab,8,47,LANGUAGE CENTER,[13:30-15:20 DAR 101 Sunday],,,1
1,10610071,ENGLISH FOR NURSING I,1,1,Bachelor,2,Lab,10,47,LANGUAGE CENTER,[13:30-15:20 DAR B113 Sunday],,,1
1,10610071,ENGLISH FOR NURSING I,1,1,Bachelor,2,Lab,11,47,LANGUAGE CENTER,[12:30-14:20 DAR 102 Monday],,,1
1,10610071,ENGLISH FOR NURSING I,1,1,Bachelor,2,Lab,12,47,LANGUAGE CENTER,[14:30-16:20 DAR B110 Sunday],,,0
1,10610072,ENGLISH FOR NURSING II,1,1,Bachelor,2,Lab,2,47,LANGUAGE CENTER,[14:30-16:20 DAR B110 Tuesday],,,1
1,10610073,ENGLISH FOR NURSING III,1,1,Bachelor,2,Lab,2,47,LANGUAGE CENTER,[10:30-12:20 DAR 101 Tuesday],,,1
1,10610081,MEDICAL ENGLISH I,1,1,Bachelor,2,Lab,1,47,LANGUAGE CENTER,[12:30-14:20 DAR 132 Wednesday],,,0
1,10610081,MEDICAL ENGLISH I,1,1,Bachelor,2,Lab,4,47,LANGUAGE CENTER,[12:30-14:20 DAR 101 Monday],,,0
1,10610081,MEDICAL ENGLISH I,1,1,Bachelor,2,Lab,6,47,LANGUAGE CENTER,[13:30-15:20 DAR B113 Tuesday],,,1
1,10610081,MEDICAL ENGLISH I,1,1,Bachelor,2,Lab,9,47,LANGUAGE CENTER,[12:30-14:20 DAR 101 Wednesday],,,0
1,10610083,MEDICAL ENGLISH III,1,1,Bachelor,2,Lab,1,47,LANGUAGE CENTER,[17:30-19:20  9999 Sunday],,,0
1,10610084,MEDICAL ENGLISH IV,1,1,Bachelor,2,Lab,1,47,LANGUAGE CENTER,[10:30-12:20 DAR 102 Wednesday],,,1
1,10610084,MEDICAL ENGLISH IV,1,1,Bachelor,2,Lab,2,47,LANGUAGE CENTER,[08:30-10:20 DAR 102 Tuesday],,,1
1,10610084,MEDICAL ENGLISH IV,1,1,Bachelor,2,Lab,3,47,LANGUAGE CENTER,[12:30-14:20 DAR B113 Thursday],,,1
1,10610086,MEDICAL ENGLISH VI,1,1,Bachelor,2,Lab,1,47,LANGUAGE CENTER,[17:30-19:20  9999 Thursday],,,0
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,1,47,LANGUAGE CENTER,[12:30-14:20 DAR B102 Monday],,,1
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,2,47,LANGUAGE CENTER,[12:30-14:20 DAR B110 Monday],,,0
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,3,47,LANGUAGE CENTER,[14:30-16:20 DAR B115 Monday],,,1
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,4,47,LANGUAGE CENTER,[14:30-16:20 DAR B114 Monday],,,0
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,5,47,LANGUAGE CENTER,[14:30-16:20 DAR B115 Wednesday],,,1
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,6,47,LANGUAGE CENTER,[14:30-16:20 DAR B114 Wednesday],,,1
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,7,47,LANGUAGE CENTER,[14:30-16:20 DAR B110 Thursday],,,1
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,8,47,LANGUAGE CENTER,[14:30-16:20 DAR B109 Thursday],,,0
1,10610500,ENGLISH FOR ACADEMIC PURPOSES,3,3,Master,1,Lecture,1,47,LANGUAGE CENTER,[15:00-18:00 AFS 124 Monday],,,0
1,10610500,ENGLISH FOR ACADEMIC PURPOSES,3,9,PHD,1,Lecture,2,47,LANGUAGE CENTER,[15:00-18:00 AFS 124 Monday],,,0
1,10611750,ENGLISH FOR DENTAL TECHNOLOGY STUDENT,2,13,Diploma,1,Lecture,6,47,LANGUAGE CENTER,[10:30-11:20 DAR B102 Monday Wednesday],,,1
1,10611750,ENGLISH FOR DENTAL TECHNOLOGY STUDENT,2,13,Diploma,1,Lecture,8,47,LANGUAGE CENTER,[11:30-12:20 DAR 101 Monday Wednesday],,,1
